State #,State name,Medicare enrollees,Total Medicare reimbursements per enrollee (Parts A and B) (2014),,Hospital & skilled nursing facility reimbursements per enrollee (2014),,Physician reimbursements per enrollee (2014),,Outpatient facility reimbursements per enrollee (2014),,Home health agency reimbursements per enrollee (2014),,Hospice reimbursements per enrollee (2014),,Durable medical equipment reimbursements per enrollee (2014),
24,Minnesota,"2,64,592","8,115","8,001","3,751","3,531","1,756","1,929","1,908","1,858",262,249,286,286,167,165
25,Mississippi,"3,26,660","9,304","10,540","4,025","4,805","2,204","2,323","1,579","1,764",772,866,471,539,253,238
26,Missouri,"5,73,650","8,892","9,567","3,983","4,455","2,136","2,195","1,825","1,915",363,378,377,417,206,206
27,Montana,"1,23,426","7,366","7,457","3,096","3,245","1,537","1,529","2,097","2,042",178,172,232,256,186,178
28,Nebraska,"2,09,165","8,582","8,873","3,860","3,991","2,067","2,149","1,921","1,979",265,269,270,293,207,200
29,Nevada,"2,04,078","10,039","9,543","4,463","4,276","3,176","3,068","1,125","1,020",687,621,418,377,201,205
30,New Hampshire,"1,72,753","8,861","8,362","4,054","3,789","1,842","1,851","2,064","1,873",475,433,281,271,159,154
31,New Jersey,"9,16,398","11,060","10,207","5,070","4,616","3,701","3,461","1,477","1,367",371,341,286,263,172,177
32,New Mexico,"1,67,522","7,765","7,812","3,360","3,294","1,976","2,018","1,381","1,420",429,442,425,444,200,200
33,New York,"14,15,298","10,864","9,907","5,270","4,494","3,423","3,219","1,426","1,468",433,442,172,147,161,166
34,North Carolina,"8,78,742","8,494","9,069","3,623","3,874","2,439","2,643","1,485","1,578",370,393,369,376,210,204
35,North Dakota,"76,270","7,962","8,201","3,479","3,663","1,677","1,731","2,448","2,434",96,95,120,142,180,169
36,Ohio,"8,81,460","9,626","10,171","4,463","4,750","2,321","2,454","1,739","1,826",485,508,442,449,173,181
37,Oklahoma,"4,01,856","9,174","10,080","3,862","4,381","2,170","2,274","1,546","1,675",950,"1,032",475,550,204,205
38,Oregon,"2,86,107","7,765","7,316","3,374","3,080","1,969","1,963","1,571","1,462",330,305,332,322,179,172
39,Pennsylvania,"10,39,339","9,806","9,864","4,537","4,567","2,648","2,660","1,692","1,697",458,458,303,312,175,178
41,Rhode Island,"79,083","9,943","8,946","4,615","4,068","2,602","2,588","1,646","1,345",578,472,364,328,135,141
42,South Carolina,"5,21,494","8,635","9,311","3,527","3,908","2,623","2,769","1,380","1,468",350,372,577,623,199,197
43,South Dakota,"97,487","7,979","8,118","3,577","3,704","1,622","1,687","2,277","2,222",142,138,139,157,210,197
44,Tennessee,"5,77,527","8,850","9,896","3,803","4,488","2,534","2,665","1,362","1,497",606,670,317,354,230,228
45,Texas,"17,67,166","10,506","10,942","4,528","4,808","2,825","2,875","1,431","1,481","1,011","1,039",517,548,192,193
46,Utah,"1,57,763","8,484","8,717","3,462","3,583","2,148","2,189","1,449","1,464",638,643,545,598,257,260
47,Vermont,"87,117","8,219","7,657","3,726","3,226","1,443","1,450","2,269","2,210",445,442,201,201,153,141
49,Virginia,"7,92,458","8,307","8,715","3,516","3,778","2,490","2,549","1,413","1,468",416,430,296,313,173,175
50,Washington,"5,77,189","8,268","7,796","3,668","3,429","2,162","2,132","1,683","1,532",314,284,267,249,168,163
51,West Virginia,"1,99,126","8,971","9,826","4,244","4,675","2,052","2,217","1,715","1,900",427,476,325,359,213,205
52,Wisconsin,"4,77,100","8,230","8,412","3,723","3,763","1,832","1,986","1,887","1,876",240,237,385,389,160,156
53,Wyoming,"69,253","8,169","7,767","3,949","3,625","1,973","1,947","1,599","1,556",226,219,128,135,264,253
99,United States,"2,60,97,945","9,589","9,589","4,244","4,244","2,682","2,682","1,579","1,579",537,537,359,359,187,187
